No.,Title,Original airdate,Guest(s),Ingredient(s),Contestants,Judges,Dish,Winner,Guest A,Guest B,Judge A,Judge B,Judge C,Season
183,"""Ladies Don't Play""","March 29, 2018","Daphne Oz, Michael Voltaggio",Fava Beans,Aarthi Sampath X  Zoe Schor,"Hari Nayak, Alison Roman, Albert Di Meglio",Chicken Biryani,Aarthi Sampath,Daphne Oz, Michael Voltaggio,Hari Nayak, Alison Roman, Albert Di Meglio,15
184,"""Not a Speck""","April 5, 2018","Sunny Anderson, Carla Hall",Speck,Jonah Miller X  Ronny Miranda,"Seamus Mullen, Ingrid Hoffmann, David Santos",Peri Peri Chicken,Bobby Flay,Sunny Anderson, Carla Hall,Seamus Mullen, Ingrid Hoffmann, David Santos,15
185,"""Getting Crabby""","April 12, 2018","Alex Guarnaschelli, Jet Tila",Cucumber,Mark Laubner X  Brendan Pelley,"Michael Psilakis, April Bloomfield, Drew Nieporent",Crab cake sandwich,Bobby Flay,Alex Guarnaschelli, Jet Tila,Michael Psilakis, April Bloomfield, Drew Nieporent,15
186,"""Red Hot""","April 19, 2018","Katie Lee, Giada De Laurentiis",Red Kidney bean,Ashbell McElveen X  John Cox,"Dale Talde, Ivy Stark, Lazarus Lynch",Pancake,Bobby Flay,Katie Lee, Giada De Laurentiis,Dale Talde, Ivy Stark, Lazarus Lynch,16
187,"""Worldly Ways""","April 26, 2018","Sunny Anderson, Andrew Zimmern",Manchego,Jared Forman X  Fabio Viviani,"Frank Prisinzano, Lidia Bastianich, Marco Canora",Spaghetti with meatballs,Fabio Viviani,Sunny Anderson, Andrew Zimmern,Frank Prisinzano, Lidia Bastianich, Marco Canora,16
188,"""Sticky Situation""","May 3, 2018","Michael Symon, Marcela Valladolid",Peanut butter,Clarice Lam X  Avery Ruzicka,"Jen King, Zac Young, Tracy Obolsky",S'more,Bobby Flay,Michael Symon, Marcela Valladolid,Jen King, Zac Young, Tracy Obolsky,16
189,"""Sprung a Leek""","May 10, 2018","Damaris Phillips, Amanda Freitag",Leek,Shota Nakajima X  Jamie Gwen,"Drew Nieporent, Sara Gore, Charles Parker",Tempura,Shota Nakajima,Damaris Phillips, Amanda Freitag,Drew Nieporent, Sara Gore, Charles Parker,16
190,"""Stealing the Spotlight""","May 17, 2018","Ina Garten, Laura Benanti",Dates,Paulette Goto X  Ed Schoenfeld,"Mary Sue Milliken, Michael Solomonov, Lucinda Scala Quinn",Chicken marsala,Bobby Flay,Ina Garten, Laura Benanti,Mary Sue Milliken, Michael Solomonov, Lucinda Scala Quinn,16
191,"""Grill Me""","May 24, 2018","Katie Lee, Mekhi Phifer",Korean-Style Short ribs,Lisa Dahl X [16] Nathan Gresham,"Timothy Walker, Sasha Miranda, Brian Duffy",Beef Slider,Bobby Flay,Katie Lee, Mekhi Phifer,Timothy Walker, Sasha Miranda, Brian Duffy,16
192,"""Eye of the Tiger""","May 31, 2018","Alex Guarnaschelli, Eddie Jackson",Tiger Prawns,Dale Levitski X  Manish Tyagi,"Jehangir Mehta, Elise Kornack, Ronnie Woo",Palak paneer,Manish Tyagi,Alex Guarnaschelli, Eddie Jackson,Jehangir Mehta, Elise Kornack, Ronnie Woo,16
193,"""Food Star Face-Off""","June 7, 2018","Anne Burrell, Patti LaBelle",Manila Clams,Dom Tesoriero X  Viet Pham[17],"Hugh Mangum, Dana Cowin, John Seymour",Hot chicken,Viet Pham,Anne Burrell, Patti LaBelle,Hugh Mangum, Dana Cowin, John Seymour,16
194,"""Beauty and the Beast""","June 14, 2018","Scott Conant, Olivia Culpo",Smoked salmon,Deb Caplan X  Nicholas Lisotto,"Jacob Hadjigeorgis, Melba Wilson, Christian Petroni",Cacio e pepe,Bobby Flay,Scott Conant, Olivia Culpo,Jacob Hadjigeorgis, Melba Wilson, Christian Petroni,16
195,"""Skirting By""","June 21, 2018","Sunny Anderson, Susie Essman",Skirt steak,Robert Sisca X  Michael Brennan,"Frank Pellegrino, Jr., Rosanna Scotto, Ed McFarland",Bouillabaisse,Robert Sisca,Sunny Anderson, Susie Essman,Frank Pellegrino, Jr.," Rosanna Scotto, Ed McFarland",16
196,"""Blast From the Past""","June 28, 2018","Amanda Freitag, Katie Lee",T-bone steak,Allison Fasano X  Paul Del Favero,"Gabriel Israel, Lourdes Castro, David Santos",Seafood Cataplana,Bobby Flay,Amanda Freitag, Katie Lee,Gabriel Israel, Lourdes Castro, David Santos,16
197,"""Hit Him Again""","July 5, 2018","Scott Conant, Daphne Oz",Rainbow Chard,Thomas Boemer X  Bao Bao,"Sohui Kim, John Terzian, Tracy Jane Young",Chicken and dumplings,Thomas Boemer,Scott Conant, Daphne Oz,Sohui Kim, John Terzian, Tracy Jane Young,16
202,"""Fields of Green""","August 2, 2018","Alex Guarnaschelli, Damaris Phillips",Mustard Greens,Maeve Rochford X  Navjot Arora,"Hari Nayak, Aliya LeeKong, Lisle Richards",Savory Hand Pies,Bobby Flay,Alex Guarnaschelli, Damaris Phillips,Hari Nayak, Aliya LeeKong, Lisle Richards,16
198,"""Judges As Contenders""","July 12, 2018","Sunny Anderson, Marcus Samuelsson",Stout,Michael Psilakis X  Seamus Mullen,"Elly Truesdell, Michael Lomonaco, Ariane Daguin",Coconut Seafood Curry,Bobby Flay,Sunny Anderson, Marcus Samuelsson,Elly Truesdell, Michael Lomonaco, Ariane Daguin,17
199,"""Waltz Up a Win""","July 19, 2018","Derek Hough, Carla Hall",Honeycomb toffee,Olivier Palazzo X  Katy Gerdes,"Paulette Goto, Scott Levine, Ayala Donchin",Chocolate Soufflé,Olivier Palazzo,Derek Hough, Carla Hall,Paulette Goto, Scott Levine, Ayala Donchin,17
200,"""Culinary Knockout""","July 26, 2018","Giada De Laurentiis, Michael Voltaggio",Snap pea,Geronimo Lopez X  Frances Tariga,"Seamus Mullen, Nicole Ponseca, Corby Kummer",Lomo saltado,Bobby Flay,Giada De Laurentiis, Michael Voltaggio,Seamus Mullen, Nicole Ponseca, Corby Kummer,17
201,"""Flying Aubergines""","July 29, 2018","Anne Burrell, Jet Tila",Japanese Eggplant,Tony Gemignani X  Robert Aikens,"Ken Oringer, Tricia Williams, Madison Cowan",Bubble and squeak,Robert Aikens,Anne Burrell, Jet Tila,Ken Oringer, Tricia Williams, Madison Cowan,17
203,"""Winning in My Dreams""","August 5, 2018","Debbie Gibson, Katie Lee",Quahog Clam,Ype Von Hengst X  William Wright,"Peter Giannakis, Sawako Okochi, Michael Vignola",Chicken Satay,Bobby Flay,Debbie Gibson, Katie Lee,Peter Giannakis, Sawako Okochi, Michael Vignola,17
204,"""Never Give Up""","August 9, 2018","Alex Guarnaschelli, Stephanie Izard",Tasso ham,Pasquale Cozzolino X  Ivana Raca,"Michel Nischan, Sara Gore, Michael Psilakis",Gnocchi,Ivana Raca,Alex Guarnaschelli, Stephanie Izard,Michel Nischan, Sara Gore, Michael Psilakis,17
205,"""Chocolate Victory""","August 16, 2018","Michael Symon, Valerie Bertinelli",Mexican Chocolate,Katy Smith X  Jose Guerrero,"Felipe Donnelly, Ivy Stark, Michael Schulson",Tlayuda,Bobby Flay,Michael Symon, Valerie Bertinelli,Felipe Donnelly, Ivy Stark, Michael Schulson,17
206,"""Joke's on Bobby""","August 23, 2018","Emilie de Ravin, Katie Lee",Quinoa,Jamie Lynch X  Shorne Benjamin,"Carlos Swepson, Hannah Bronfman, Bill Telepan",Pumpkin Curry,Bobby Flay,Emilie de Ravin, Katie Lee,Carlos Swepson, Hannah Bronfman, Bill Telepan,17
207,"""Fit to Flay""","August 30, 2018","Scott Conant, Jane Seymour",Mascarpone Cheese,Silvia Barban X  Nate Appleman,"Rob Petrone, Donatella Arpaia, Jimmy Bradley",Chicken Adobo,Bobby Flay,Scott Conant, Jane Seymour,Rob Petrone, Donatella Arpaia, Jimmy Bradley,17
208,"""Skating By""","September 6, 2018","Anne Burrell, Jaymee Sire",Skate,Nicole Brisson X  Adam Greenberg,"Leah Cohen, Albert Di Meglio, Einat Admony",Chicken Scarpariello,Adam Greenberg,Anne Burrell, Jaymee Sire,Leah Cohen, Albert Di Meglio, Einat Admony,17
209,"""Feel The Judgment""","September 13, 2018","Jet Tila, Laura Vitale",Salt Cod,Christian Petroni X  Leah Cohen,"Bill Telepan, Raiza Costa, Garrison Price",Fregula and Clams,Bobby Flay,Jet Tila, Laura Vitale,Bill Telepan, Raiza Costa, Garrison Price,17
210,"""Chop of the Mornin' to Ya""","September 20, 2018","Amanda Freitag, Laura Vitale",Lamb Loin chop,Asif Syed X  Jordan Frosolone,"Hari Nayak, Alison Roman, Sabin Lomac",Tandoori Chicken,Asif Syed,Amanda Freitag, Laura Vitale,Hari Nayak, Alison Roman, Sabin Lomac,17
212,"""Fright Club""","October 4, 2018","Jesse Palmer, Eddie Jackson",Chicken Livers,John Patterson X  Frank Terzoli,"Aliya LeeKong, Joe Isidori, Ingrid Hoffmann",Squid Ink Pasta,Bobby Flay,Jesse Palmer, Eddie Jackson,Aliya LeeKong, Joe Isidori, Ingrid Hoffmann,17
211,"""Shucking The Competition""","September 27, 2018","Geoffrey Zakarian, Damaris Phillips",Oysters,Laurent Zirotti X  Eric Damidot,"Ariane Daguin, Brian Mazza, Elise Kornack",Beef Bourguignon,Bobby Flay,Geoffrey Zakarian, Damaris Phillips,Ariane Daguin, Brian Mazza, Elise Kornack,18
213,"""Aged to Perfection""","October 11, 2018","Michael Strahan, Michael Symon",Aged Balsamic vinegar,Anastacia Song X  Joey Ward,"Michael Schulson, Leah Cohen, Richie Notar",Chicken and waffles,Joey Ward,Michael Strahan, Michael Symon,Michael Schulson, Leah Cohen, Richie Notar,18
214,"""Family Matters""","October 18, 2018","Daphne Oz, Jourdan Dunn",Fresh Apricot,Beto Rodarte X  Julian Rodarte,"Jason Debriere, Pati Jinich, Lisle Richards",Fideos Carnitas,Bobby Flay,Daphne Oz, Jourdan Dunn,Jason Debriere, Pati Jinich, Lisle Richards,18
215,"""Knighted Sir Loin""","October 25, 2018","Alex Guarnaschelli, Michael Voltaggio",Lamb Sirloin,Tracey Shepos Cenami X  John Vitale,"Michael Psilakis, Lucinda Scala Quinn, Madison Cowan",Eggplant Rollatini,Bobby Flay,Alex Guarnaschelli, Michael Voltaggio,Michael Psilakis, Lucinda Scala Quinn, Madison Cowan,18
216,"""Baked to Perfection""","November 1, 2018","Ted Allen, Gesine Bullock-Prado",Pecans,Mathew Rice X  Thiago Silva,"Amirah Kassem, Paulette Goto, Ayala Donchin",Chocolate Layer Cake,Thiago Silva,Ted Allen, Gesine Bullock-Prado,Amirah Kassem, Paulette Goto, Ayala Donchin,18
217,"""Drop the Mic""","November 8, 2018","Amanda Freitag, Jo Koy",Monkfish,Ryan Hackney X  Nora Haron,"Dale, Anita, Simpson Wong",Gai Yang chicken,Bobby Flay,Amanda Freitag, Jo Koy,Dale, Anita, Simpson Wong,18
218,"""Stuffed With Victory""","November 15, 2018","Geoffrey Zakarian, Sara Haines",Brussels Sprouts,Bernard Carmouche X  Daniel Sharp,"Georgette Farkas, Frank Prisinzano, Allison Fasano",Roasted Chicken,Bobby Flay,Geoffrey Zakarian, Sara Haines,Georgette Farkas, Frank Prisinzano, Allison Fasano,18
219,"""Say Cheese!""","November 22, 2018","Giada De Laurentiis, Sunny Anderson",Gorgonzola cheese,Duskie Estes X  Francesco Buitoni,"Dale Talde, Ivy Stark, Kevin Sbraga",Seafood Fra Diavolo,Bobby Flay,Giada De Laurentiis, Sunny Anderson,Dale Talde, Ivy Stark, Kevin Sbraga,18
220,"""Cream of the Crop""","November 29, 2018","Katie Lee, Valerie Bertinelli",Cream cheese,Chris Henry X  Steve Gedra,"Craig Samuel, Dana Cowin, Tom Birchard",Fried Green Tomato Sandwich,Chris Henry,Katie Lee, Valerie Bertinelli,Craig Samuel, Dana Cowin, Tom Birchard,18
221,"""Wrapping Up Victory""","December 6, 2018","Amanda Freitag, Jamie-Lynn Sigler",Dried cranberry,Ron Duprat X  Gabriel Pascuzzi,"Marc Vetri, Rosanna Scotto, Mark Ladner",Cioppino,Bobby Flay,Amanda Freitag, Jamie-Lynn Sigler,Marc Vetri, Rosanna Scotto, Mark Ladner,18
222,"""Sprouting Victory""","December 27, 2018","Scott Conant, Anne Burrell",Mushrooms,Lawrence Letrero X  Jack Moore,"Ronnie Woo, Sara Gore, Pete Levin",Poutine,Bobby Flay,Scott Conant, Anne Burrell,Ronnie Woo, Sara Gore, Pete Levin,18
223,"""Sweet, Sweet Revenge!""","January 3, 2019","Michael Symon, Josh Capon",Blueberry,Clarice Lam X  Caroline Schiff,"Paulette Goto, Melissa Weller, Emma Bengtsson",Key lime pie,Bobby Flay,Michael Symon, Josh Capon,Paulette Goto, Melissa Weller, Emma Bengtsson,18
224,"""Heavy Lifting""","January 10, 2019","Alton Brown, Jet Tila",Soppressata,Jonathon Sawyer X  Mark Ladner,"Frank Prisinzano, Rita Jammet, Fabio Trabocchi",Shrimp Scampi,Bobby Flay,Alton Brown, Jet Tila,Frank Prisinzano, Rita Jammet, Fabio Trabocchi,18
225,"""Oh Brother""","January 17, 2019","Alex Guarnaschelli, Gus Kenworthy",Porgy,Brian Redzikowski X  Steve Redzikowski,"Hannah Cheng, Christian Petroni, Marian Cheng",Asian Dumplings,Steve Redzikowski,Alex Guarnaschelli, Gus Kenworthy,Hannah Cheng, Christian Petroni, Marian Cheng,18
226,"""Take Him to Fresno""","January 24, 2019","Alex Guarnaschelli, Ben Rappaport",Fresno Chiles,Chad Clevenger X  Anita Cartagena,"David Massoni, Aliya LeeKong, Jonah Reider",Empanada,Chad Clevenger,Alex Guarnaschelli, Ben Rappaport,David Massoni, Aliya LeeKong, Jonah Reider,19
227,"""Game On""","January 31, 2019","Anne Burrell, Eddie Jackson",Pickles,Jeff Henderson X  Ashley Gaboriault,"Pete Levin, Grace Ramirez, Wylie Dufresne",Chili Cheese fries,Ashley Gaboriault,Anne Burrell, Eddie Jackson,Pete Levin, Grace Ramirez, Wylie Dufresne,19
228,"""Old Friends""","February 3, 2019","Ted Allen, Sunny Anderson",Cabbage,Michael Psilakis X  Einat Admony,"Christian Petroni, Leah Cohen, Bryce Shuman",Lamb Risotto,Michael Psilakis,Ted Allen, Sunny Anderson,Christian Petroni, Leah Cohen, Bryce Shuman,19
229,"""Getting Nutty""","February 7, 2019","Laura Vitale, Michael Voltaggio",Macadamia Nuts,Alex Brugger X  Tatiana Rosana,"Louie Estrada, Donatella Arpaia, Felipe Donnelly",Fricasé de Pollo,Bobby Flay,Laura Vitale, Michael Voltaggio,Louie Estrada, Donatella Arpaia, Felipe Donnelly,19
230,"""Choc-O-Love""","February 14, 2019","Alton Brown, Valerie Bertinelli",Cocoa Nibs,Ryan Scott X  David Lebovitz,"Corby Kummer, Jen King, Michael Laiskonis",Flourless Chocolate cake,Bobby Flay,Alton Brown, Valerie Bertinelli,Corby Kummer, Jen King, Michael Laiskonis,19
231,"""Don't Drop The Beat (Bobby)""","February 21, 2019","Michael Symon, Brooke Shields",Fregula,Carla Pellegrino X  Idris Muhammad,"Sara Gore, Ray Garcia, Rosanna Scotto",Braciole,Bobby Flay,Michael Symon, Brooke Shields,Sara Gore, Ray Garcia, Rosanna Scotto,19
232,"""Off to the Races""","February 28, 2019","Josh Capon, Carolyn Manno",Rice noodles,Jouvens Jean X  Bruce Naftaly,"John Seymour, Lourdes Castro, Tom Birchard",Ham Croquettes,Bobby Flay,Josh Capon, Carolyn Manno,John Seymour, Lourdes Castro, Tom Birchard,19
233,"""Don't Sour Out""","March 7, 2019","Katie Lee, Marc Murphy",Sourdough bread,Austin Cobb X  Silvia Baldini,"Marco Canora, Angie Rito, Laurent Tourondel",Pasta Primavera,Bobby Flay,Katie Lee, Marc Murphy,Marco Canora, Angie Rito, Laurent Tourondel,19
234,"""Mince Meat""","March 14, 2019","Scott Conant, Donatella Arpaia",Ground Veal,Fernando Ruiz X  Paco Garcia,"Joe Isidori, Sue Torres, Seamus Mullen",Chiles en nogada,Fernando Ruiz,Scott Conant, Donatella Arpaia,Joe Isidori, Sue Torres, Seamus Mullen,19
235,"""Greeking Out""","March 21, 2019","Anne Burrell, Jose Garces",Greek Yogurt,Ryan Lory X  Aneesa Waheed,"Alain Allegretti, Tricia Williams, Akhtar Nawab",Coq au vin,Bobby Flay,Anne Burrell, Jose Garces,Alain Allegretti, Tricia Williams, Akhtar Nawab,19
236,"""A Marital Match""","March 28, 2019","Sunny Anderson, Jeff Mauro",Honeydew,Sam Carroll X  Cody Carroll,"Melba Wilson, Trigg Brown, Kardea Brown",Chicken Gumbo,Sam Carroll,Sunny Anderson, Jeff Mauro,Melba Wilson, Trigg Brown, Kardea Brown,19
237,"""Nutty Times""","April 4, 2019","Geoffrey Zakarian, Amanda Freitag",Almond butter,Dante Giannini X  Eliza Gavin,"Sara Moulton, Ed Brown, Ariane Daguin",Crab cake,Bobby Flay,Geoffrey Zakarian, Amanda Freitag,Sara Moulton, Ed Brown, Ariane Daguin,19
238,"""Against the Grain""","April 11, 2019","Ted Allen, Damaris Phillips",Farro,Sara Nguyen X  Paul Fehribach,"Andrew Friedman, Aliya LeeKong, Jimmy Bradley",Egg & Cheese,Paul Fehribach,Ted Allen, Damaris Phillips,Andrew Friedman, Aliya LeeKong, Jimmy Bradley,20
239,"""They Took the Cheese""","April 18, 2019","Marcus Samuelsson, Anne Burrell",Swiss cheese,Roshni Gurnani X  Carl Schaubhut,"Sam Talbot, Andrienne Cheatham, Vikas Khanna",Goat Kebab,Bobby Flay,Marcus Samuelsson, Anne Burrell,Sam Talbot, Andrienne Cheatham, Vikas Khanna,20
240,"""A Tropical Punch""","April 25, 2019","Katie Lee, Scott Conant",Mangoes,Zach Meloy X  Matt Pace,"Ken Oringer, Georgette Farkas, Richie Notar",Fried Oyster Po'boy,Matt Pace,Katie Lee, Scott Conant,Ken Oringer, Georgette Farkas, Richie Notar,20
241,"""Pump It Up""","May 2, 2019","Tony Rock, Alex Guarnaschelli",Pumpernickel Bread,Bill Clifton X  Stephan Bogurdus,"Jimmy Bradley, Melba Wilson, Michael Lomonaco",Corn Chowder,Bobby Flay,Tony Rock, Alex Guarnaschelli,Jimmy Bradley, Melba Wilson, Michael Lomonaco,20
242,"""Something's Fishy""","May 5, 2019","Richard Blais, Natalie Morales",Bluefish,Coby Farrow X  Johnny Hernandez,"Sara Moulton, Michael Psilakis, Lourdes Castro",Shrimp Taco,Bobby Flay,Richard Blais, Natalie Morales,Sara Moulton, Michael Psilakis, Lourdes Castro,20
243,"""Grapes of Wrath""","May 9, 2019","Alex Guarnaschelli, Buddy Valastro",Grapes,Paulette Goto X  Zac Young,"Claudia Fleming, Corby Kummer, Raiza Costa",Carrot Cake,Zac Young,Alex Guarnaschelli, Buddy Valastro,Claudia Fleming, Corby Kummer, Raiza Costa,20
244,"""Making Headlines""","May 16, 2019","Dylan Dreyer, Scott Conant",Pinto Beans,Patrick Simpson X  Alvin Savella,"Frank Prisinzano, Lucinda Scala Quinn, Chung Chow",Jerk Snapper,Bobby Flay,Dylan Dreyer, Scott Conant,Frank Prisinzano, Lucinda Scala Quinn, Chung Chow,20
245,"""Flame-tastic!""","May 23, 2019","Alex Guarnaschelli, Michael Symon",Plums,Armando Litiatco X  Mikala Brennan,"Lourdes Castro, David Santos, Michele Ragussis",Skirt steak Churrasco,Bobby Flay,Alex Guarnaschelli, Michael Symon,Lourdes Castro, David Santos, Michele Ragussis,20
246,"""Bye Bye Birdie""","May 30, 2019","Michael Symon, Jet Tila",Boneless Quail,Rebecca Weitzman X  Brian Lewis,"Spike Mendelsohn, Lucinda Scala Quinn, Cesare Casella",Sacchettoni,Brian Lewis,Michael Symon, Jet Tila,Spike Mendelsohn, Lucinda Scala Quinn, Cesare Casella,20
247,"""Give Me Some Mo!""","June 6, 2019","Sunny Anderson, Katie Lee",Lentils,Andre Gomez X  Ramon Perez,"Ivy Stark, Jackfry Rosado, Grace Ramirez",Beef Mofongo,Bobby Flay,Sunny Anderson, Katie Lee,Ivy Stark, Jackfry Rosado, Grace Ramirez,20
248,"""Grind it Out!""","June 13, 2019","Michael Voltaggio, Tony Hawk",Andouille,Pablo Zitzmann X  Ming Pu,"Wilson Tang, Leah Cohen, Josh Grinker",Kung Pao chicken,Pablo Zitzmann,Michael Voltaggio, Tony Hawk,Wilson Tang, Leah Cohen, Josh Grinker,20
249,"""Chi-Town Throws Down""","June 20, 2019","Carla Hall, Sophia Bush",Edamame,Aaron Cuschieri X  Jill Barron,"David Massoni, Sara Gore, Akhtar Nawab",Fish and chips,Aaron Cuschieri,Carla Hall, Sophia Bush,David Massoni, Sara Gore, Akhtar Nawab,20
250,"""Double Trouble""","June 20, 2019","Damaris Phillips, Daphne Oz",Brie,Enrique Limardo X  Jeff Smedstad,"Alex Garcia, Vivian Chan, Ricardo Cardona",Chicken enchilada,Bobby Flay,Damaris Phillips, Daphne Oz,Alex Garcia, Vivian Chan, Ricardo Cardona,20
251,"""Use Your Noodle""","June 27, 2019","Scott Conant, Geoffrey Zakarian",Soba Noodles,Philippe Haddad X  Melissa O'Donnell,"Jean-Paul Bourgeois, Jumana Bishara, Christian Schienle",Lamb Kofta,Bobby Flay,Scott Conant, Geoffrey Zakarian,Jean-Paul Bourgeois, Jumana Bishara, Christian Schienle,21
252,"""A Taste Of Summer""","July 4, 2019","Noah Cappe, Anne Burrell",Passion Fruit,Mark Peel X  Nick Williams,"Ed McFarland, Susan Povich, Kevin Sbraga",Fried Belly Clam Roll,Nick Williams,Noah Cappe, Anne Burrell,Ed McFarland, Susan Povich, Kevin Sbraga,21
253,"""Snaked Out""","July 11, 2019","Marc Murphy, Chris Santos",Cashew,Derek Simcik X  Sylva Senat,"Einat Admony, Corby Kummer, Adrienne Cheatham",Shakshuka,Bobby Flay,Marc Murphy, Chris Santos,Einat Admony, Corby Kummer, Adrienne Cheatham,21
254,"""Seeing Stars""","July 18, 2019","Damaris Philips, Richard Blais",Breakfast Sausage,Alex McCoy X  Jay Ducote,"Jean-Paul Bourgeois, Hong Thaimee, Floyd Cardoz",Crawfish Boil,Jay Ducote,Damaris Philips, Richard Blais,Jean-Paul Bourgeois, Hong Thaimee, Floyd Cardoz,21
255,"""It's A Date""","July 25, 2019","Alex Guarnaschelli, Alton Brown",Veal Rib Chops,Lisa Carlson X  Carrie Summer,"Michael Psilakis, Ayala Donchin, Jake Dell",Meatloaf Sandwich,Bobby Flay,Alex Guarnaschelli, Alton Brown,Michael Psilakis, Ayala Donchin, Jake Dell,21
256,"""Finding Stars""","August 1, 2019","Giada De Laurentiis, Jess Cagle",Arugula,Pano Karatassos X  Mimi Weissenborn,"Michael Lomonaco, Michele Ragussis, Daniel Breaker",Lamb Pie,Pano Karatassos,Giada De Laurentiis, Jess Cagle,Michael Lomonaco, Michele Ragussis, Daniel Breaker,21
257,"""Clear The Deck""","August 8, 2019","Daphne Oz, Eddie Jackson",Beef Rib Cap,Daniel Gomez Sanchez X  Matthew Ridgway,"Tricia Williams, Madison Cowan, Keri Glassman",Sole meuniere,Bobby Flay,Daphne Oz, Eddie Jackson,Tricia Williams, Madison Cowan, Keri Glassman,21
258,"""Break A Plate!""","August 15, 2019","Damaris Phillips, Rachael Ray",Rye Bread,Adam Leonti X  Anthony Scolaro,"Frank Prisinzano, Georgette Farkas, Adam Greenberg",Vegetable Lasagna,Bobby Flay,Damaris Phillips, Rachael Ray,Frank Prisinzano, Georgette Farkas, Adam Greenberg,21
259,"""Funny or Fried""","August 22, 2019","Alton Brown, Amanda Freitag",Taleggio Cheese,Gregory Wiener X  Daphne Brogdon,"Richie Notar, Sue Torres, Hugh Mangum",Cuban Sandwich,Bobby Flay,Alton Brown, Amanda Freitag,Richie Notar, Sue Torres, Hugh Mangum,21
260,"""A Proper Smackdown""","August 29, 2019","Valerie Bertinelli, Clinton Kelly",Asian Pears,Ian Winslade X  Geoff Rhyne,"Michael Solomonov, Adrienne Cheatham, Alain Allegretti",Fisherman's Pie,Ian Winslade,Valerie Bertinelli, Clinton Kelly,Michael Solomonov, Adrienne Cheatham, Alain Allegretti,22
261,"""A Pioneering Ordeal""","September 5, 2019","Alex Guarnaschelli, Ree Drummond",Hanger Steak,Jamarius Banks X  Vince Giancarlo,"Jean-Paul Bourgeois, Melba Wilson, Adrienne Cheatham",Shrimp and Grits,Bobby Flay,Alex Guarnaschelli, Ree Drummond,Jean-Paul Bourgeois, Melba Wilson, Adrienne Cheatham,22
262,"""It's Gonna Be A Late Night""","September 12, 2019","Michael Symon, Seth Meyers",Duck Bacon,Carrie Baird X  Lamar Moore,"Sara Moulton, Craig Samuel, Ariel Contreras-Fox",Huevos Rancheros,Carrie Baird,Michael Symon, Seth Meyers,Sara Moulton, Craig Samuel, Ariel Contreras-Fox,22
263,"""All In The Family""","September 19, 2019","Carla Hall, Jesse Tyler Ferguson",Horseradish,Michael Bertozzi X  Mika Leon,"Louie Estrada, Lourdes Castro, Chris Cheung",Picadillo,Bobby Flay,Carla Hall, Jesse Tyler Ferguson,Louie Estrada, Lourdes Castro, Chris Cheung,22
264,"""It's Gonna Be Jarring""","September 26, 2019","Anne Burrell, Carson Kressley",Anchovy,Kevin Sweeney X  Nicco Muratore,"Albert Di Meglio, Lauren Scala, Lisle Richards",Agnolotti,Bobby Flay,Anne Burrell, Carson Kressley,Albert Di Meglio, Lauren Scala, Lisle Richards,22
265,"""Bobby vs. Food""","September 26, 2019","Eddie Jackson, Casey Webb",Olive,Eric Bolyard X  Sarah Murray,"Einat Admony, Lisle Richards, Alison Roman",Arròs negre,Bobby Flay,Eddie Jackson, Casey Webb,Einat Admony, Lisle Richards, Alison Roman,22
266,"""Fey vs. Flay""","October 3, 2019","Alex Guarnaschelli, Tina Fey",Rutabaga,Alexcia Smith X  Asia Mei,"Lucinda Scala Quinn, Michael Lomonaco, Esther Choi",Lamb Shawarma,Bobby Flay,Alex Guarnaschelli, Tina Fey,Lucinda Scala Quinn, Michael Lomonaco, Esther Choi,22
267,"""They Had Style, They Had Food""","October 10, 2019","Scott Conant, Fran Drescher",Ginger,Jessica Scott X  Shelby Sieg,"Amirah Kassem, David Lebovitz, Paulette Goto",Olive Oil Cake,Shelby Sieg,Scott Conant, Fran Drescher,Amirah Kassem, David Lebovitz, Paulette Goto,22
268,"""Keeping It Real""","October 17, 2019","Ted Allen, Jeannie Mai",Rolled Oats,Giuseppe Fanelli X  Ryan Depersio,"Richie Notar, Georgette Farkas, David Massoni",Chicken Cacciatore,Bobby Flay,Ted Allen, Jeannie Mai,Richie Notar, Georgette Farkas, David Massoni,22
269,"""It Must've Been Love""","October 24, 2019","Jet Tila, Ali Tila",Papaya,Ricardo Castro X  Rosana Rivera,"Akhtar Nawab, Ivy Stark, Matt FX",Beef Empanada,Rosana Rivera,Jet Tila, Ali Tila,Akhtar Nawab, Ivy Stark, Matt FX,22
270,"""Gobble Till You Wobble""","November 14, 2019","Alex Guarnaschelli, Jay Pharoah",Cornbread,Jason Bissell X  Tirzah Love,"Wylie Dufresne, Einat Admony, Adam Sappington",Turkey Meatloaf,Bobby Flay,Alex Guarnaschelli, Jay Pharoah,Wylie Dufresne, Einat Admony, Adam Sappington,22
271,"""A Good Day for a Win""","December 26, 2019","Katie Lee, Mikey Day",Kumquat,Minnie Nguyen X  Adam Hodgson,"Sara Gore, Kardea Brown, Pati Jinich",Egg Rolls,Bobby Flay,Katie Lee, Mikey Day,Sara Gore, Kardea Brown, Pati Jinich,22
272,"""Winter Win-Derland""","January 2, 2020","Michael Symon, Bethenny Frankel",Venison Loin,Kevin Hickey X  Andrew Wilson,"Daniel Breaker, Lucinda Scala Quinn, Daniel Eddy",Duck a l'orange,Bobby Flay,Michael Symon, Bethenny Frankel,Daniel Breaker, Lucinda Scala Quinn, Daniel Eddy,22
